run_type,source_stem,position_index,reference_angle_commanded_deg,reference_angle_normalized_deg,is_closure_measurement,sample_count,elapsed_mid_s,yaw_sign_corrected_mean_deg,yaw_drift_corrected_mean_deg,error_sign_corrected_mean_deg,error_sign_corrected_sd_deg,error_drift_corrected_mean_deg,error_drift_corrected_sd_deg,yaw_sign_corrected_sd_deg,yaw_drift_corrected_sd_deg
ascending,segmented_ascending_20260717_121716,36,360.0,0.0,True,327,704.6062171305811,328.4659946235616,0.08367451330640463,-31.5340053764384,0.09869469672696372,0.08367451330640463,0.008026644255521942,0.09869469672696372,0.008026644255521942
descending,segmented_descending_20260717_141821,0,360.0,0.0,False,327,3.9972260516819573,359.01829412059794,359.1930236751516,-0.9817058794020832,0.11282949990291125,-0.8069763248483864,0.006548967369620813,0.11282949990291212,0.006548967369620647
descending,segmented_descending_20260717_141821,1,350.0,350.0,False,328,24.39121811280488,348.9714329567323,350.12909072045943,-1.0285670432676717,0.11870070644073556,0.129090720459444,0.009380606032855407,0.11870070644073556,0.009380606032855407
descending,segmented_descending_20260717_141821,2,340.0,340.0,False,327,43.615505760856266,337.92794491743746,340.012154705599,-2.0720550825625486,0.11921222996637645,0.012154705599024146,0.010376632772514294,0.11921222996637645,0.010376632772514294
descending,segmented_descending_20260717_141821,3,330.0,330.0,False,327,64.42201525321101,326.82773459903984,329.91475467825063,-3.17226540096016,0.10694289302703627,-0.08524532174937989,0.009598782538946657,0.10694289302703627,0.009598782538946657
descending,segmented_descending_20260717_141821,4,320.0,320.0,False,327,83.92788055198777,316.3557091231469,320.3828524106555,-3.6442908768531237,0.09606256970489542,0.3828524106555413,0.01656225586040309,0.09606256970489542,0.01656225586040309
descending,segmented_descending_20260717_141821,5,310.0,310.0,False,327,103.3223605204893,304.8839798553399,309.84587791798793,-5.116020144660104,0.10028755540943898,-0.15412208201207872,0.012293201057826475,0.10028755540943898,0.012293201057826475
descending,segmented_descending_20260717_141821,6,300.0,300.0,False,326,125.03516900552147,293.89262638784027,299.90101558848386,-6.107373612159758,0.09816642700361747,-0.09898441151612261,0.013638741826463656,0.09816642700361747,0.013638741826463656
descending,segmented_descending_20260717_141821,7,290.0,290.0,False,327,145.06313765321102,282.9610601621413,289.9347363599189,-7.038939837858711,0.09500743455042607,-0.06526364008113515,0.017373414682138873,0.09500743455042607,0.017373414682138873
descending,segmented_descending_20260717_141821,8,280.0,280.0,False,327,163.83829336452598,272.03444509750483,279.91302653036166,-7.965554902495165,0.09447376371524736,-0.0869734696383377,0.0173933917007382,0.09447376371524736,0.0173933917007382
descending,segmented_descending_20260717_141821,9,270.0,270.0,False,327,181.61243791559633,260.8501346991266,269.58537568254184,-9.149865300873364,0.10281704135845332,-0.41462431745814643,0.009714226373330723,0.10281704135845332,0.009714226373330723
descending,segmented_descending_20260717_141821,10,260.0,260.0,False,327,201.09871325504588,250.8238258765115,260.49824589194066,-9.176174123488494,0.10461908520154105,0.498245891940654,0.008846054120187779,0.10461908520154105,0.008846054120187779
descending,segmented_descending_20260717_141821,11,250.0,250.0,False,326,220.37179650828222,239.47456472820215,250.07788856739353,-10.52543527179785,0.1038954140890537,0.07788856739353027,0.008755316911472782,0.1038954140890537,0.008755316911472782
descending,segmented_descending_20260717_141821,12,240.0,240.0,False,327,238.7213274324159,228.36034439117296,239.84805964899263,-11.639655608827043,0.10634380950177788,-0.15194035100735687,0.007575603442136544,0.10634380950177788,0.007575603442136544
descending,segmented_descending_20260717_141821,13,230.0,230.0,False,326,256.9688563886503,217.32931880450593,229.6965092972397,-12.670681195494057,0.1087653362096974,-0.30349070276031287,0.007267156191502795,0.1087653362096974,0.007267156191502795
descending,segmented_descending_20260717_141821,14,220.0,220.0,False,326,275.73915932484664,206.8083183057278,220.08018014458258,-13.191681694272214,0.09937884345616126,0.08018014458257097,0.01361909583464056,0.09937884345616126,0.01361909583464056
descending,segmented_descending_20260717_141821,15,210.0,210.0,False,328,296.618328975,196.2008983702289,210.47907249810217,-13.799101629771094,0.11311464768954801,0.4790724981021616,0.005577925466684195,0.11311464768954801,0.005577925466684195
descending,segmented_descending_20260717_141821,16,200.0,200.0,False,327,316.4503164703364,184.7879742122928,200.0219896435615,-15.212025787707198,0.10710370694116188,0.021989643561525135,0.007654337061946652,0.10710370694116188,0.007654337061946652
