target_source,head_yaw_deg,target_angle_deg,target_error_deg,sigma_deg,source_a_gain_db,source_b_gain_db,target_gain_db,interferer_gain_db,target_to_interferer_gain_db,pair_count,tir_improvement_db_mean,tir_improvement_db_sd,tir_improvement_db_median,input_tir_db_mean,input_tir_db_sd,input_tir_db_median,output_tir_db_mean,output_tir_db_sd,output_tir_db_median,input_si_sdr_db_mean,input_si_sdr_db_sd,input_si_sdr_db_median,output_si_sdr_db_mean,output_si_sdr_db_sd,output_si_sdr_db_median,si_sdr_improvement_db_mean,si_sdr_improvement_db_sd,si_sdr_improvement_db_median
source_a,20.0,-30.0,50.0,20.0,0.4393693362340742,8.824969025845954,0.4393693362340742,8.824969025845954,-8.38559968961188,100,-8.385599689560753,3.1393691067771017e-11,-8.38559968957159,-0.6024261402910958,2.87577632324595,-0.7917068405540917,-8.988025829851848,2.875776323271026,-9.177306530116955,-0.5990293185616284,2.877925819432165,-0.7705820980567666,-8.983513119342243,2.8891381911028207,-9.138255337009095,-8.384483800780615,0.16109018084951984,-8.371822076639239
source_a,30.0,-30.0,60.0,20.0,0.11108996538242306,10.0,0.11108996538242306,10.0,-9.888910034617577,100,-9.888910034558615,3.178076851931699e-11,-9.888910034569793,-0.6503737416429592,2.899896332335046,-0.8541064523552808,-10.539283776201575,2.8998963323586318,-10.743016486915929,-0.6489054512119925,2.9060876825004507,-0.8093884960194964,-10.541569114147833,2.9322562655578577,-10.591734347555974,-9.892663662935842,0.2178777890504388,-9.872301820912348
source_a,40.0,-30.0,70.0,20.0,0.02187491118182885,8.824969025845954,0.02187491118182885,8.824969025845954,-8.803094114664125,100,-8.80309411460498,3.0695076141673785e-11,-8.80309411461603,-0.7227228127649539,2.9176953103367813,-0.944787439589927,-9.525816927369933,2.9176953103589938,-9.7478815541965,-0.7208319752425613,2.921147731124344,-0.9281145093468897,-9.525891978644713,2.9367397419182204,-9.649365482924711,-8.805060003402152,0.1844937523064242,-8.792337743605714
source_a,50.0,-30.0,80.0,20.0,0.0033546262790251184,6.065306597126334,0.0033546262790251184,6.065306597126334,-6.061951970847309,100,-6.061951970795016,2.6675147755070046e-11,-6.061951970804835,-0.7484317975119781,2.9204969629949544,-0.9259652993616033,-6.810383768306993,2.920496963014071,-6.987917270171829,-0.7457661654255647,2.921274827382611,-0.9131266814926648,-6.807389868470387,2.925851431623696,-6.9212816289677885,-6.061623703044822,0.10622987311466918,-6.058220105768191
source_a,60.0,-30.0,90.0,20.0,0.0004006529739295107,3.2465246735834974,0.0004006529739295107,3.2465246735834974,-3.246124020609568,100,-3.2461240205724335,1.8718111087208482e-11,-3.2461240205792756,-0.7679284025576686,2.903661718680221,-1.016329917359735,-4.014052423130102,2.903661718693522,-4.262453937942828,-0.7640253667445973,2.899337301529589,-0.9230322820981431,-4.009246039190154,2.8985000872720024,-4.118211669537773,-3.2452206724455572,0.04797496209556931,-3.2410476699371418
source_a,70.0,-30.0,100.0,20.0,3.726653172078671e-05,1.353352832366127,3.726653172078671e-05,1.353352832366127,-1.3533155658344063,100,-1.3533155658149834,9.699343391761685e-12,-1.3533155658181886,-0.7736234675813669,2.8871413595602227,-0.9920253715039837,-2.1269390333963503,2.887141359567104,-2.3453409373237974,-0.7703557601204942,2.8817544480999984,-0.913251988563468,-2.123405470799012,2.88115427991935,-2.2534387386332537,-1.353049710678518,0.01786516394338503,-1.3510977233314085
source_a,80.0,-30.0,110.0,20.0,2.699578503363014e-06,0.4393693362340742,2.699578503363014e-06,0.4393693362340742,-0.43936663665557085,100,-0.43936663664841324,3.5504590413017302e-12,-0.4393666366495691,-0.758558235431388,2.862330042623259,-0.9456568671525908,-1.1979248720798013,2.862330042625776,-1.385023503803287,-0.7578926817672559,2.857355197849309,-0.9670195313586194,-1.1973098368495665,2.857173248751984,-1.4094922222665396,-0.43941715508231066,0.005504968172266862,-0.43883012686324396
source_a,90.0,-30.0,120.0,20.0,1.5229979744712628e-07,0.11108996538242306,1.5229979744712628e-07,0.11108996538242306,-0.11108981308262561,100,-0.11108981308068958,9.568431214828405e-13,-0.11108981308098198,-0.7871013227612375,2.8498217636181473,-1.013072039452879,-0.898191135841927,2.8498217636188277,-1.1241618525339336,-0.7887406311932469,2.8457570929697,-1.0247239414348286,-0.8998728214956225,2.845721474700535,-1.1351023824887463,-0.11113219030237564,0.0013751354074400303,-0.11089924985651956
source_a,-90.0,-30.0,60.0,30.0,1.353352832366127,0.0033546262790251184,1.353352832366127,0.0033546262790251184,1.3499982060871019,100,1.3499982060638498,1.2300276018669612e-11,1.3499982060684215,0.005599851872242011,2.8067757495515924,-0.14977853341541214,1.3555980579360918,2.8067757495604693,1.2002196726535865,0.0064498226755969005,2.808804820154609,-0.14967712042474762,1.3564936799410205,2.808307264073421,1.200309142302872,1.3500438572654236,0.013764717601800522,1.3495929969142932
source_a,-80.0,-30.0,50.0,30.0,2.4935220877729622,0.01203859994828203,2.4935220877729622,0.01203859994828203,2.48148348782468,100,2.481483487787849,1.9510959840107074e-11,2.4814834877951664,-0.02097515953656023,2.8021147050642354,-0.27344019997185587,2.460508328251289,2.8021147050782997,2.2080432878169765,-0.020789469014071096,2.8027412874757065,-0.26687970004085076,2.460940342716314,2.8022712399003518,2.2116446661132967,2.481729811730385,0.024309043405827162,2.4790376259169875
