trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,source_estimate_delay_ms,source_delay_angular_lag_deg,separator_sdr_db,separator_sdr_label,leakage_linear,pair_count,ideal_stoi_vs_ideal_output_mean,ideal_stoi_vs_ideal_output_sd,ideal_stoi_vs_ideal_output_median,stoi_vs_ideal_output_mean,stoi_vs_ideal_output_sd,stoi_vs_ideal_output_median,stoi_loss_vs_ideal_output_mean,stoi_loss_vs_ideal_output_sd,stoi_loss_vs_ideal_output_median
60_deg_s,60.0,30.0,0.0,20.0,1.2,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.6362756749527808,0.04935677778235103,0.630211815133028,0.36372432504721913,0.04935677778235103,0.369788184866972
60_deg_s,60.0,30.0,0.0,20.0,1.2,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.6803772265194197,0.05120378973307039,0.6712720049910598,0.3196227734805804,0.05120378973307039,0.32872799500894023
60_deg_s,60.0,30.0,0.0,20.0,1.2,20.0,20,0.1,100,1.0,0.0,1.0,0.7213264081033075,0.06265359134617188,0.7063749024714203,0.27867359189669244,0.06265359134617188,0.2936250975285797
60_deg_s,60.0,30.0,0.0,20.0,1.2,inf,inf,0.0,100,1.0,0.0,1.0,0.7338391517532651,0.06784748088790943,0.716382246973459,0.2661608482467349,0.06784748088790943,0.283617753026541
60_deg_s,60.0,30.0,0.0,40.0,2.4,0.0,0,1.0,100,1.0,0.0,1.0,0.42391074974721,0.0783093420022941,0.4203493438916051,0.57608925025279,0.07830934200229411,0.579650656108395
60_deg_s,60.0,30.0,0.0,40.0,2.4,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.4945082040846603,0.07469583063032034,0.4911487598534455,0.5054917959153397,0.07469583063032034,0.5088512401465545
60_deg_s,60.0,30.0,0.0,40.0,2.4,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.5496762591249715,0.08349307718671801,0.5399737092082257,0.45032374087502847,0.08349307718671801,0.4600262907917743
60_deg_s,60.0,30.0,0.0,40.0,2.4,20.0,20,0.1,100,1.0,0.0,1.0,0.5966427265296971,0.09962613566770913,0.5782973972821164,0.4033572734703029,0.09962613566770913,0.42170260271788357
60_deg_s,60.0,30.0,0.0,40.0,2.4,inf,inf,0.0,100,1.0,0.0,1.0,0.6106401908548812,0.10497989131346773,0.5926480408176967,0.38935980914511875,0.10497989131346773,0.40735195918230327
60_deg_s,60.0,30.0,0.0,80.0,4.8,0.0,0,1.0,100,1.0,0.0,1.0,0.29157798779114796,0.08931909273124146,0.27498383446835933,0.708422012208852,0.08931909273124145,0.7250161655316406
60_deg_s,60.0,30.0,0.0,80.0,4.8,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.37403450655898046,0.0899571732368072,0.3578882423048513,0.6259654934410195,0.0899571732368072,0.6421117576951487
60_deg_s,60.0,30.0,0.0,80.0,4.8,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.4411464789434422,0.10612513073991901,0.41285703127666407,0.5588535210565577,0.10612513073991901,0.5871429687233359
60_deg_s,60.0,30.0,0.0,80.0,4.8,20.0,20,0.1,100,1.0,0.0,1.0,0.4963428326742546,0.12927449381732595,0.47461172913910615,0.5036571673257454,0.12927449381732595,0.5253882708608939
60_deg_s,60.0,30.0,0.0,80.0,4.8,inf,inf,0.0,100,1.0,0.0,1.0,0.5120279623430513,0.13661094448449385,0.4889667477855258,0.48797203765694874,0.13661094448449385,0.5110332522144743
60_deg_s,60.0,30.0,0.0,120.0,7.2,0.0,0,1.0,100,1.0,0.0,1.0,0.21679927753169706,0.10112109173023862,0.21740323866603165,0.783200722468303,0.10112109173023862,0.7825967613339684
60_deg_s,60.0,30.0,0.0,120.0,7.2,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.3015923242434299,0.1065136546397029,0.28813981535328925,0.6984076757565701,0.1065136546397029,0.7118601846467107
60_deg_s,60.0,30.0,0.0,120.0,7.2,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.3730333946032474,0.12404918800790142,0.3558339272676389,0.6269666053967526,0.12404918800790142,0.644166072732361
60_deg_s,60.0,30.0,0.0,120.0,7.2,20.0,20,0.1,100,1.0,0.0,1.0,0.4332693775171365,0.146871424771178,0.4161457319243646,0.5667306224828634,0.146871424771178,0.5838542680756353
60_deg_s,60.0,30.0,0.0,120.0,7.2,inf,inf,0.0,100,1.0,0.0,1.0,0.4507679475664249,0.15381977979978023,0.4262854338976373,0.5492320524335751,0.15381977979978023,0.5737145661023627
60_deg_s,60.0,30.0,0.0,160.0,9.6,0.0,0,1.0,100,1.0,0.0,1.0,0.19753861998256642,0.09783914011077258,0.18981060763835236,0.8024613800174336,0.09783914011077258,0.8101893923616477
60_deg_s,60.0,30.0,0.0,160.0,9.6,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.2796081967933762,0.10502592805025086,0.2810855700410999,0.7203918032066239,0.10502592805025086,0.7189144299589001
60_deg_s,60.0,30.0,0.0,160.0,9.6,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.34928086233880323,0.12293412426350059,0.35004760222651476,0.6507191376611968,0.12293412426350059,0.6499523977734852
60_deg_s,60.0,30.0,0.0,160.0,9.6,20.0,20,0.1,100,1.0,0.0,1.0,0.4092686875900927,0.1471815190752398,0.39940070471450784,0.5907313124099073,0.1471815190752398,0.6005992952854922
60_deg_s,60.0,30.0,0.0,160.0,9.6,inf,inf,0.0,100,1.0,0.0,1.0,0.42750450253762917,0.15538599971044498,0.4131256464868299,0.5724954974623708,0.15538599971044495,0.5868743535131701
60_deg_s,60.0,30.0,0.0,200.0,12.0,0.0,0,1.0,100,1.0,0.0,1.0,0.1997387189943156,0.09358114703652075,0.19597768077785307,0.8002612810056844,0.09358114703652075,0.804022319222147
60_deg_s,60.0,30.0,0.0,200.0,12.0,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.28281650126852753,0.09892673138571358,0.2852555963240738,0.7171834987314725,0.09892673138571358,0.7147444036759262
60_deg_s,60.0,30.0,0.0,200.0,12.0,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.3520800260900715,0.11503549842376344,0.34150114006504484,0.6479199739099285,0.11503549842376344,0.6584988599349552
60_deg_s,60.0,30.0,0.0,200.0,12.0,20.0,20,0.1,100,1.0,0.0,1.0,0.41208071713194705,0.13766108008384942,0.40530616405747166,0.587919282868053,0.13766108008384942,0.5946938359425283
60_deg_s,60.0,30.0,0.0,200.0,12.0,inf,inf,0.0,100,1.0,0.0,1.0,0.43073190868153477,0.1461568209421827,0.4251417155497174,0.5692680913184652,0.1461568209421827,0.5748582844502825
120_deg_s,120.0,30.0,0.0,0.0,0.0,0.0,0,1.0,100,1.0,0.0,1.0,0.9064417758437022,0.030395801930911806,0.9055359909805838,0.09355822415629782,0.030395801930911806,0.0944640090194162
120_deg_s,120.0,30.0,0.0,0.0,0.0,5.0,5,0.5623413251903491,100,1.0,0.0,1.0,0.9555030156670337,0.015111649852922524,0.9539854571300086,0.04449698433296638,0.015111649852922524,0.04601454286999146
120_deg_s,120.0,30.0,0.0,0.0,0.0,10.0,10,0.31622776601683794,100,1.0,0.0,1.0,0.9814812798137137,0.006495086588608633,0.9807565159611791,0.018518720186286294,0.006495086588608633,0.019243484038820924
120_deg_s,120.0,30.0,0.0,0.0,0.0,20.0,20,0.1,100,1.0,0.0,1.0,0.9975551637813854,0.0008914755178027137,0.9974657859771064,0.0024448362186145246,0.0008914755178027137,0.002534214022893555
120_deg_s,120.0,30.0,0.0,0.0,0.0,inf,inf,0.0,100,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
120_deg_s,120.0,30.0,0.0,20.0,2.4,0.0,0,1.0,100,1.0,0.0,1.0,0.5683764093841631,0.05498685506446592,0.5652668864116119,0.4316235906158369,0.05498685506446593,0.4347331135883881
