trial_id,condition_id,angle_sequence_index,angle_nominal_deg,angle_wrapped_deg,closure_measurement,speaker,repetition,expected_output_channel,expected_reference_output_channel,expected_input_channels,status,attempt_number,notes
brir_theta_200_spk_A_rep01,brir_theta_200_spk_A_rep01,20,200,200,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_200_spk_B_rep01,brir_theta_200_spk_B_rep01,20,200,200,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_200_spk_A_rep02,brir_theta_200_spk_A_rep02,20,200,200,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_200_spk_B_rep02,brir_theta_200_spk_B_rep02,20,200,200,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_210_spk_B_rep01,brir_theta_210_spk_B_rep01,21,210,210,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_210_spk_A_rep01,brir_theta_210_spk_A_rep01,21,210,210,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_210_spk_B_rep02,brir_theta_210_spk_B_rep02,21,210,210,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_210_spk_A_rep02,brir_theta_210_spk_A_rep02,21,210,210,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_220_spk_A_rep01,brir_theta_220_spk_A_rep01,22,220,220,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_220_spk_B_rep01,brir_theta_220_spk_B_rep01,22,220,220,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_220_spk_A_rep02,brir_theta_220_spk_A_rep02,22,220,220,False,A,2,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_220_spk_B_rep02,brir_theta_220_spk_B_rep02,22,220,220,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_230_spk_B_rep01,brir_theta_230_spk_B_rep01,23,230,230,False,B,1,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_230_spk_A_rep01,brir_theta_230_spk_A_rep01,23,230,230,False,A,1,output_1,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
brir_theta_230_spk_B_rep02,brir_theta_230_spk_B_rep02,23,230,230,False,B,2,output_2,output_3,input_1:ear_L;input_2:ear_R;input_5:reference,planned,1,
