trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,angular_velocity_delay_deg,pair_count,tir_improvement_db_mean,tir_improvement_db_sd,tir_improvement_db_median,tir_loss_vs_zero_delay_db_mean,tir_loss_vs_zero_delay_db_sd,tir_loss_vs_zero_delay_db_median,si_sdr_improvement_db_mean,si_sdr_improvement_db_sd,si_sdr_improvement_db_median,si_sdr_loss_vs_zero_delay_db_mean,si_sdr_loss_vs_zero_delay_db_sd,si_sdr_loss_vs_zero_delay_db_median,gain_error_rms_db_mean,gain_error_rms_db_sd,gain_error_rms_db_median,gain_error_peak_abs_db_mean,gain_error_peak_abs_db_sd,gain_error_peak_abs_db_median,transition_time_ms_mean,transition_time_ms_sd,transition_time_ms_median,transition_delay_vs_zero_ms_mean,transition_delay_vs_zero_ms_sd,transition_delay_vs_zero_ms_median
30_deg_s,30.0,20.0,200.0,6.0,10,5.039605752203995,1.2655982213589227,4.809033736631463,-2.7354451381306113,0.7154785813230384,-2.706577333722939,5.004081976911057,1.2511325298212808,4.804697611650835,-2.734083134170896,0.718939202303942,-2.7114524299469744,0.982143477920009,0.0,0.982143477920009,3.146816780460328,0.0,3.146816780460328,649.9999999999999,0.0,649.9999999999999,199.99999999999972,0.0,199.99999999999972
30_deg_s,30.0,30.0,0.0,0.0,10,6.016596605945546,0.6386433420585413,5.80389549930802,0.0,0.0,0.0,5.986586602199066,0.6335607341200563,5.851001987601024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0
30_deg_s,30.0,30.0,20.0,0.6,10,5.805565110392177,0.6826343109702396,5.573812628029909,-0.21103149555336947,0.045707433827022234,-0.22507705243334009,5.776181227270804,0.6768275172923894,5.620199740327882,-0.210405374928262,0.0455375519828228,-0.22180540429735673,0.07876855352818667,0.0,0.07876855352818667,0.22740718713666386,0.0,0.22740718713666386,520.0,0.0,520.0,20.0,0.0,20.0
30_deg_s,30.0,30.0,40.0,1.2,10,5.585558242720769,0.727564550106111,5.336913341967748,-0.4310383632247782,0.09254896662532122,-0.4595797127047856,5.556824396815756,0.721083156332085,5.3786772120701976,-0.4297622053833098,0.09219115177414826,-0.45287877456893044,0.15749416171818773,0.0,0.15749416171818773,0.4545636852090036,0.0,0.4545636852090036,540.0,0.0,540.0,40.0,0.0,40.0
30_deg_s,30.0,30.0,80.0,2.4,10,5.120211485648214,0.8196781807003621,4.840707918822999,-0.8963851202973318,0.18911633784439497,-0.9557851358495348,5.092848861662113,0.8119709694157764,4.864543703286664,-0.8937377405369529,0.18832821183260345,-0.9417431166274053,0.3146456779971875,0.0,0.3146456779971875,0.9071270202208108,0.0,0.9071270202208108,580.0000000000001,0.0,580.0000000000001,80.00000000000011,0.0,80.00000000000011
30_deg_s,30.0,30.0,120.0,3.6,10,4.62436772268901,0.9138091796017784,4.31053512255944,-1.3922288832565366,0.2885994953956433,-1.4859579321130942,4.598471288870883,0.9050060004841118,4.311461594889282,-1.3881153133281834,0.28730964393659464,-1.4639067657807732,0.47111676060219276,0.0,0.47111676060219276,1.3557170506463327,0.0,1.3557170506463327,620.0000000000001,0.0,620.0000000000001,120.00000000000011,0.0,120.00000000000011
30_deg_s,30.0,30.0,160.0,4.8,10,4.102667878225192,1.0087140831141626,3.7498217116071655,-1.913928727720354,0.3897916042830951,-2.0466713430653685,4.0783350331206565,0.9989106264990163,3.723370172743463,-1.9082515690784096,0.38793299115659147,-2.0158980181047093,0.626579180887602,0.0,0.626579180887602,1.7984149632527773,0.0,1.7984149632527773,660.0000000000001,0.0,660.0000000000001,160.0000000000001,0.0,160.0000000000001
30_deg_s,30.0,30.0,200.0,6.0,10,3.5602820138467357,1.103079839542675,3.162671710241188,-2.4563145920988108,0.49137921476200624,-2.6294367711855493,3.537616267323168,1.0923436088658633,3.1174773473100332,-2.448970334875898,0.4888930599820889,-2.593547565403184,0.7807186867014337,0.0,0.7807186867014337,2.233381552953821,0.0,2.233381552953821,700.0000000000002,0.0,700.0000000000002,200.00000000000023,0.0,200.00000000000023
30_deg_s,30.0,45.0,0.0,0.0,10,3.747060491884778,0.5186941503329068,3.5868323105436097,0.0,0.0,0.0,3.7276765217054852,0.5161240539726681,3.567183011308753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,569.9999999999999,0.0,569.9999999999999,0.0,0.0,0.0
30_deg_s,30.0,45.0,20.0,0.6,10,3.6048638058965405,0.5476312427423288,3.42681725494817,-0.14219668598823776,0.030906861985225076,-0.15457333614317004,3.5861938791728423,0.5449445029480043,3.4118844928205707,-0.14148264253264314,0.03065647171424894,-0.15529851848818255,0.05214278697592324,0.0,0.05214278697592324,0.1419865802010296,0.0,0.1419865802010296,589.9999999999999,0.0,589.9999999999999,20.0,0.0,20.0
30_deg_s,30.0,45.0,40.0,1.2,10,3.458525427388177,0.5767530690524802,3.2614360003917557,-0.288535064496601,0.06208986410917748,-0.3136498006707249,3.4405908670554255,0.5739266662732154,3.252021240969948,-0.28708565465005986,0.061541386992741434,-0.3151617703388052,0.1042614195552747,0.0,0.1042614195552747,0.2838580131151156,0.0,0.2838580131151156,609.9999999999999,0.0,609.9999999999999,40.0,0.0,40.0
30_deg_s,30.0,45.0,80.0,2.4,10,3.1544863088656325,0.6351174097270231,2.9155828884218926,-0.5925741830191458,0.1248728301432224,-0.6443835965110962,3.138082022639567,0.631920588940246,2.9195204229322775,-0.5895944990659187,0.12358129444680016,-0.6476625883764755,0.2083300122547043,0.0,0.2083300122547043,0.5667963651656951,0.0,0.5667963651656951,649.9999999999999,0.0,649.9999999999999,80.0,0.0,80.0
