pair_id,source_a_sample_id,source_b_sample_id,trajectory,angular_velocity_deg_s,sigma_deg,orientation_delay_ms,angular_velocity_delay_deg,tir_improvement_db,tir_loss_vs_zero_delay_db,si_sdr_improvement_db,si_sdr_loss_vs_zero_delay_db,gain_error_rms_db,gain_error_peak_abs_db,transition_time_ms,transition_delay_vs_zero_ms,ideal_tir_improvement_db,input_tir_db,output_tir_db,input_si_sdr_db,output_si_sdr_db
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,60.0,0.0,0.0,3.3916785997738264,0.0,3.4429325907576716,0.0,0.0,0.0,300.00000000000006,0.0,3.3916785997738264,-5.4335392221787515,-2.041860622404925,-5.607747186186597,-2.164814595428925
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,60.0,20.0,1.2,3.3235985765067553,-0.06808002326707108,3.3743506152724194,-0.06858197548525213,0.0556847985326028,0.18709043170019513,320.00000000000006,20.0,3.3916785997738264,-5.4335392221787515,-2.1099406456719962,-5.607747186186597,-2.233396570914177
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,60.0,40.0,2.4,3.25230807980173,-0.13937051997209648,3.3026962431115106,-0.140236347646161,0.11126798447565692,0.37362255537302236,340.00000000000006,40.0,3.3916785997738264,-5.4335392221787515,-2.1812311423770216,-5.607747186186597,-2.305050943075086
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,60.0,80.0,4.8,3.102134306525749,-0.2895442932480772,3.152232320142935,-0.2907002706147366,0.2217298268860825,0.7428025700365648,379.9999999999999,79.99999999999983,3.3916785997738264,-5.4335392221787515,-2.3314049156530023,-5.607747186186597,-2.4555148660436616
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,60.0,120.0,7.2,2.9453705410969384,-0.44630805867688794,2.9958145788851995,-0.447118011872472,0.33061424162995706,1.1032239573472902,419.99999999999994,119.99999999999989,3.3916785997738264,-5.4335392221787515,-2.488168681081813,-5.607747186186597,-2.611932607301397
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,60.0,160.0,9.6,2.7858438220244857,-0.6058347777493407,2.8373105279235125,-0.6056220628341591,0.4372155845407696,1.4508181485434672,459.99999999999994,159.9999999999999,3.3916785997738264,-5.4335392221787515,-2.647695400154266,-5.607747186186597,-2.770436658263084
pair_01,LSDEV_0184,LSDEV_0196,60_deg_s,60.0,60.0,200.0,12.0,2.6263136427059246,-0.7653649570679018,2.6794178302634197,-0.7635147604942518,0.5409191475167919,1.7818747020433436,500.0,199.99999999999994,3.3916785997738264,-5.4335392221787515,-2.807225579472827,-5.607747186186597,-2.928329355923177
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,10.0,0.0,0.0,8.650878705379252,0.0,8.662738243522696,0.0,0.0,0.0,139.99999999999991,0.0,8.650878705379252,-2.2979278703694437,6.352950835009809,-2.317452689198679,6.345285554324018
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,10.0,20.0,2.4,8.567369155611427,-0.08350954976782532,8.578115603900628,-0.0846226396220695,0.3079469913497369,2.0063765471175117,159.99999999999991,20.0,8.650878705379252,-2.2979278703694437,6.269441285241983,-2.317452689198679,6.260662914701949
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,10.0,40.0,4.8,8.498152362952546,-0.1527263424267069,8.507595259028303,-0.15514298449439412,0.6063370543890464,3.8899064530264087,179.99999999999994,40.00000000000003,8.650878705379252,-2.2979278703694437,6.2002244925831,-2.317452689198679,6.190142569829624
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,10.0,80.0,9.6,8.3594469831118,-0.2914317222674523,8.367424516726157,-0.29531372679654044,1.1464441821100464,6.920818694133757,219.99999999999997,80.00000000000006,8.650878705379252,-2.2979278703694437,6.061519112742357,-2.317452689198679,6.049971827527478
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,10.0,120.0,14.4,8.211930861982003,-0.43894784339724957,8.221227907377694,-0.44151033614500346,1.594672936712172,8.75384374572153,260.0,120.00000000000009,8.650878705379252,-2.2979278703694437,5.914002991612558,-2.317452689198679,5.903775218179015
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,10.0,160.0,19.2,8.03620805426229,-0.6146706511169633,8.04889647772995,-0.6138417657927473,1.963534621017979,9.607497582194215,300.00000000000006,160.00000000000014,8.650878705379252,-2.2979278703694437,5.738280183892845,-2.317452689198679,5.731443788531271
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,10.0,200.0,24.0,7.616844502825618,-1.0340342025536344,7.637049259048564,-1.025688984474133,2.2765701197172654,9.907971372999295,340.00000000000006,200.00000000000014,8.650878705379252,-2.2979278703694437,5.318916632456174,-2.317452689198679,5.319596569849885
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,20.0,0.0,0.0,8.954156677700519,0.0,8.967059322972936,0.0,0.0,0.0,120.00000000000011,0.0,8.954156677700519,-2.2979278703694437,6.656228807331075,-2.317452689198679,6.649606633774258
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,20.0,20.0,2.4,8.781446360553286,-0.17271031714723328,8.793909913342524,-0.1731494096304118,0.2432620650077159,1.285529951268873,139.99999999999991,19.9999999999998,8.954156677700519,-2.2979278703694437,6.483518490183842,-2.317452689198679,6.4764572241438465
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,20.0,40.0,4.8,8.630208771699877,-0.32394790600064205,8.642096495076377,-0.3249628278965595,0.48326841604037335,2.53584415834515,159.99999999999991,39.9999999999998,8.954156677700519,-2.2979278703694437,6.3322809013304315,-2.317452689198679,6.324643805877699
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,20.0,80.0,9.6,8.35210955322129,-0.6020471244792294,8.36262916971139,-0.6044301532615464,0.9421584068361265,4.807512249568463,199.99999999999994,79.99999999999983,8.954156677700519,-2.2979278703694437,6.054181682851848,-2.317452689198679,6.045176480512712
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,20.0,120.0,14.4,8.003695354487268,-0.9504613232132506,8.013517106957131,-0.9535422160158067,1.360002916207918,6.633434816754375,240.0,119.99999999999989,8.954156677700519,-2.2979278703694437,5.705767484117825,-2.317452689198679,5.696064417758452
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,20.0,160.0,19.2,7.472399675649003,-1.4817570020515163,7.483373411420389,-1.4836859115525485,1.7310001781457538,7.953862615169945,280.0,159.9999999999999,8.954156677700519,-2.2979278703694437,5.174471805279559,-2.317452689198679,5.16592072222171
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,20.0,200.0,24.0,6.7396084315975635,-2.2145482461029555,6.754040839805074,-2.213018483167863,2.0580647955705795,8.815821538035328,320.00000000000006,199.99999999999994,8.954156677700519,-2.2979278703694437,4.44168056122812,-2.317452689198679,4.436588150606395
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,30.0,0.0,0.0,8.017015771509726,0.0,8.029501295162,0.0,0.0,0.0,129.9999999999999,0.0,8.017015771509726,-2.2979278703694437,5.719087901140281,-2.317452689198679,5.712048605963321
pair_01,LSDEV_0184,LSDEV_0196,120_deg_s,120.0,30.0,20.0,2.4,7.829234271310918,-0.1877815001988079,7.841604411451587,-0.1878968837104127,0.19257362152060647,0.9071270202208108,149.99999999999991,20.00000000000003,8.017015771509726,-2.2979278703694437,5.5313064009414745,-2.317452689198679,5.524151722252908
